Categoria;Data ordine;Segmento;Obiettivo di vendita (Obiettivo di vendita)
Forniture per ufficio;30/03/2019;Piccole aziende;8
Tecnologia;30/03/2019;Privati;550
Mobili;31/03/2019;Grandi aziende;780
Forniture per ufficio;31/03/2019;Grandi aziende;50
Tecnologia;31/03/2019;Grandi aziende;607
Mobili;01/04/2019;Privati;2953
Mobili;01/04/2019;Grandi aziende;42
Forniture per ufficio;01/04/2019;Privati;526
Forniture per ufficio;02/04/2019;Privati;481
Tecnologia;02/04/2019;Privati;122
Tecnologia;02/04/2019;Grandi aziende;546
Mobili;05/04/2019;Grandi aziende;517
Forniture per ufficio;05/04/2019;Privati;84
Forniture per ufficio;05/04/2019;Grandi aziende;175
Forniture per ufficio;06/04/2019;Grandi aziende;2363
Mobili;07/04/2019;Piccole aziende;355
Forniture per ufficio;07/04/2019;Privati;601
Forniture per ufficio;07/04/2019;Grandi aziende;26
Forniture per ufficio;07/04/2019;Piccole aziende;1613
Forniture per ufficio;08/04/2019;Privati;126
Forniture per ufficio;08/04/2019;Grandi aziende;1138
Mobili;09/04/2019;Grandi aziende;66
Forniture per ufficio;09/04/2019;Grandi aziende;98
Forniture per ufficio;10/04/2019;Grandi aziende;196
Mobili;12/04/2019;Privati;262
Forniture per ufficio;12/04/2019;Privati;99
Tecnologia;12/04/2019;Privati;1247
Mobili;13/04/2019;Piccole aziende;61
Forniture per ufficio;13/04/2019;Piccole aziende;173
Tecnologia;13/04/2019;Grandi aziende;65
Forniture per ufficio;15/04/2019;Privati;648
Tecnologia;15/04/2019;Privati;556
Forniture per ufficio;16/04/2019;Grandi aziende;38
Forniture per ufficio;17/04/2019;Grandi aziende;16
Tecnologia;17/04/2019;Piccole aziende;1158
Forniture per ufficio;19/04/2019;Grandi aziende;1096
Tecnologia;19/04/2019;Grandi aziende;2119
Forniture per ufficio;20/04/2019;Privati;84
Forniture per ufficio;21/04/2019;Privati;575
Tecnologia;21/04/2019;Privati;875
Forniture per ufficio;22/04/2019;Privati;36
Tecnologia;22/04/2019;Privati;435
Mobili;23/04/2019;Privati;167
Forniture per ufficio;23/04/2019;Privati;528
Forniture per ufficio;23/04/2019;Grandi aziende;17
Tecnologia;23/04/2019;Privati;258
Tecnologia;23/04/2019;Grandi aziende;626
Forniture per ufficio;26/04/2019;Privati;39
Mobili;27/04/2019;Grandi aziende;47
Forniture per ufficio;27/04/2019;Privati;160
Forniture per ufficio;27/04/2019;Grandi aziende;181
Tecnologia;27/04/2019;Privati;622
Mobili;28/04/2019;Privati;2243
Mobili;28/04/2019;Grandi aziende;611
Forniture per ufficio;28/04/2019;Privati;459
Forniture per ufficio;28/04/2019;Grandi aziende;386
Forniture per ufficio;29/04/2019;Privati;15
Forniture per ufficio;30/04/2019;Privati;340
Forniture per ufficio;30/04/2019;Grandi aziende;154
Forniture per ufficio;30/04/2019;Piccole aziende;443
Forniture per ufficio;03/05/2019;Privati;1333
Tecnologia;03/05/2019;Privati;138
Forniture per ufficio;04/05/2019;Grandi aziende;529
Tecnologia;04/05/2019;Grandi aziende;688
Mobili;05/05/2019;Grandi aziende;1272
Mobili;05/05/2019;Piccole aziende;117
Forniture per ufficio;05/05/2019;Privati;448
Forniture per ufficio;05/05/2019;Grandi aziende;90
Forniture per ufficio;05/05/2019;Piccole aziende;66
Tecnologia;05/05/2019;Privati;2291
Tecnologia;05/05/2019;Piccole aziende;58
Mobili;06/05/2019;Piccole aziende;295
Forniture per ufficio;06/05/2019;Piccole aziende;390
Tecnologia;06/05/2019;Grandi aziende;1215
Mobili;07/05/2019;Privati;162
Forniture per ufficio;07/05/2019;Privati;35
Forniture per ufficio;08/05/2019;Privati;73
Forniture per ufficio;08/05/2019;Piccole aziende;170
Tecnologia;08/05/2019;Privati;226
Mobili;10/05/2019;Grandi aziende;165
Forniture per ufficio;10/05/2019;Privati;24
Mobili;11/05/2019;Privati;91
Forniture per ufficio;11/05/2019;Privati;274
Forniture per ufficio;11/05/2019;Grandi aziende;720
Tecnologia;11/05/2019;Privati;315
Tecnologia;11/05/2019;Grandi aziende;432
Mobili;12/05/2019;Privati;205
Forniture per ufficio;12/05/2019;Privati;354
Forniture per ufficio;12/05/2019;Grandi aziende;67
Mobili;13/05/2019;Piccole aziende;565
Forniture per ufficio;13/05/2019;Privati;22
Forniture per ufficio;13/05/2019;Grandi aziende;1093
Forniture per ufficio;14/05/2019;Grandi aziende;105
Forniture per ufficio;14/05/2019;Piccole aziende;145
Tecnologia;14/05/2019;Grandi aziende;1015
Tecnologia;16/05/2019;Privati;196
Forniture per ufficio;17/05/2019;Privati;124
Forniture per ufficio;18/05/2019;Privati;87
Tecnologia;18/05/2019;Privati;79
Mobili;19/05/2019;Privati;1031
Forniture per ufficio;19/05/2019;Privati;988
Forniture per ufficio;19/05/2019;Grandi aziende;54
Forniture per ufficio;19/05/2019;Piccole aziende;616
Forniture per ufficio;20/05/2019;Grandi aziende;710
Forniture per ufficio;20/05/2019;Piccole aziende;146
Mobili;22/05/2019;Privati;538
Forniture per ufficio;22/05/2019;Privati;15
Forniture per ufficio;22/05/2019;Grandi aziende;68
Forniture per ufficio;26/05/2019;Grandi aziende;346
Tecnologia;26/05/2019;Grandi aziende;1298
Mobili;27/05/2019;Privati;559
Forniture per ufficio;27/05/2019;Privati;586
Forniture per ufficio;27/05/2019;Grandi aziende;3222
Mobili;28/05/2019;Privati;1402
Forniture per ufficio;28/05/2019;Privati;652
Forniture per ufficio;28/05/2019;Grandi aziende;50
Tecnologia;29/05/2019;Privati;57
Mobili;31/05/2019;Privati;2117
Forniture per ufficio;01/06/2019;Privati;108
Tecnologia;01/06/2019;Privati;456
Mobili;02/06/2019;Grandi aziende;885
Forniture per ufficio;02/06/2019;Privati;196
Forniture per ufficio;02/06/2019;Grandi aziende;582
Forniture per ufficio;02/06/2019;Piccole aziende;95
Tecnologia;02/06/2019;Grandi aziende;1423
Mobili;03/06/2019;Grandi aziende;1150
Forniture per ufficio;03/06/2019;Privati;56
Forniture per ufficio;03/06/2019;Grandi aziende;2422
Tecnologia;03/06/2019;Privati;753
Tecnologia;03/06/2019;Grandi aziende;650
Forniture per ufficio;04/06/2019;Grandi aziende;406
Forniture per ufficio;05/06/2019;Grandi aziende;131
Tecnologia;05/06/2019;Piccole aziende;345
Mobili;07/06/2019;Piccole aziende;1190
Forniture per ufficio;07/06/2019;Privati;1058
Forniture per ufficio;07/06/2019;Grandi aziende;548
Tecnologia;07/06/2019;Grandi aziende;520
Mobili;08/06/2019;Grandi aziende;579
Mobili;08/06/2019;Piccole aziende;124
Forniture per ufficio;08/06/2019;Privati;323
Forniture per ufficio;08/06/2019;Grandi aziende;356
Forniture per ufficio;08/06/2019;Piccole aziende;1234
Tecnologia;08/06/2019;Grandi aziende;227
Tecnologia;08/06/2019;Piccole aziende;606
Mobili;09/06/2019;Privati;126
Mobili;09/06/2019;Grandi aziende;266
Forniture per ufficio;09/06/2019;Privati;219
Forniture per ufficio;09/06/2019;Grandi aziende;84
Tecnologia;09/06/2019;Privati;1325
Tecnologia;09/06/2019;Grandi aziende;943
Forniture per ufficio;10/06/2019;Grandi aziende;76
Forniture per ufficio;10/06/2019;Piccole aziende;828
Tecnologia;10/06/2019;Privati;694
Mobili;11/06/2019;Grandi aziende;482
Forniture per ufficio;11/06/2019;Privati;880
Forniture per ufficio;11/06/2019;Grandi aziende;789
Mobili;12/06/2019;Privati;2200
Forniture per ufficio;12/06/2019;Grandi aziende;19
Mobili;14/06/2019;Grandi aziende;660
Forniture per ufficio;14/06/2019;Privati;703
Forniture per ufficio;14/06/2019;Grandi aziende;252
Forniture per ufficio;15/06/2019;Privati;331
Forniture per ufficio;15/06/2019;Grandi aziende;52
Forniture per ufficio;15/06/2019;Piccole aziende;246
Tecnologia;15/06/2019;Privati;541
Tecnologia;15/06/2019;Grandi aziende;1132
Forniture per ufficio;16/06/2019;Privati;89
Forniture per ufficio;16/06/2019;Grandi aziende;38
Tecnologia;16/06/2019;Privati;1152
Mobili;17/06/2019;Privati;157
Mobili;17/06/2019;Grandi aziende;87
Forniture per ufficio;17/06/2019;Privati;720
Forniture per ufficio;17/06/2019;Piccole aziende;59
Tecnologia;17/06/2019;Privati;216
Tecnologia;17/06/2019;Piccole aziende;514
Mobili;18/06/2019;Privati;707
Mobili;18/06/2019;Piccole aziende;94
Forniture per ufficio;18/06/2019;Privati;24
Forniture per ufficio;18/06/2019;Grandi aziende;312
Forniture per ufficio;18/06/2019;Piccole aziende;194
Tecnologia;18/06/2019;Grandi aziende;519
Mobili;19/06/2019;Privati;2211
Forniture per ufficio;19/06/2019;Privati;316
Tecnologia;19/06/2019;Privati;994
Forniture per ufficio;21/06/2019;Grandi aziende;85
Forniture per ufficio;21/06/2019;Piccole aziende;118
Tecnologia;21/06/2019;Privati;302
Tecnologia;21/06/2019;Piccole aziende;67
Mobili;22/06/2019;Privati;1798
Forniture per ufficio;22/06/2019;Privati;335
Tecnologia;22/06/2019;Privati;372
Mobili;23/06/2019;Privati;703
Mobili;23/06/2019;Grandi aziende;1187
Forniture per ufficio;23/06/2019;Privati;798
Forniture per ufficio;23/06/2019;Grandi aziende;920
Tecnologia;23/06/2019;Privati;1500
Tecnologia;23/06/2019;Grandi aziende;333
Forniture per ufficio;25/06/2019;Privati;467
Forniture per ufficio;25/06/2019;Grandi aziende;52
Forniture per ufficio;26/06/2019;Grandi aziende;18
Mobili;27/06/2019;Privati;634
Forniture per ufficio;27/06/2019;Privati;60
Forniture per ufficio;28/06/2019;Privati;98
Forniture per ufficio;28/06/2019;Grandi aziende;241
Tecnologia;28/06/2019;Grandi aziende;1034
Tecnologia;28/06/2019;Piccole aziende;496
Mobili;29/06/2019;Privati;19
Mobili;29/06/2019;Grandi aziende;247
Mobili;29/06/2019;Piccole aziende;1096
Forniture per ufficio;29/06/2019;Privati;41
Forniture per ufficio;29/06/2019;Grandi aziende;216
Forniture per ufficio;29/06/2019;Piccole aziende;71
Tecnologia;29/06/2019;Privati;597
Tecnologia;29/06/2019;Piccole aziende;307
Forniture per ufficio;30/06/2019;Privati;673
Forniture per ufficio;02/07/2019;Privati;37
Forniture per ufficio;03/07/2019;Privati;33
Forniture per ufficio;05/07/2019;Privati;760
Mobili;07/07/2019;Grandi aziende;176
Forniture per ufficio;07/07/2019;Privati;118
Forniture per ufficio;07/07/2019;Piccole aziende;73
Tecnologia;07/07/2019;Grandi aziende;1073
Tecnologia;08/07/2019;Grandi aziende;1274
Forniture per ufficio;09/07/2019;Grandi aziende;430
Tecnologia;09/07/2019;Grandi aziende;213
Mobili;10/07/2019;Privati;109
Forniture per ufficio;10/07/2019;Privati;1155
Forniture per ufficio;12/07/2019;Grandi aziende;139
Mobili;13/07/2019;Privati;67
Forniture per ufficio;13/07/2019;Privati;165
Forniture per ufficio;13/07/2019;Grandi aziende;51
Forniture per ufficio;13/07/2019;Piccole aziende;85
Tecnologia;13/07/2019;Privati;531
Forniture per ufficio;14/07/2019;Privati;370
Mobili;15/07/2019;Grandi aziende;309
Forniture per ufficio;15/07/2019;Grandi aziende;586
Tecnologia;15/07/2019;Privati;1457
Forniture per ufficio;17/07/2019;Privati;30
Tecnologia;17/07/2019;Privati;534
Mobili;19/07/2019;Privati;329
Tecnologia;19/07/2019;Piccole aziende;1135
Mobili;21/07/2019;Privati;93
Forniture per ufficio;21/07/2019;Privati;341
Forniture per ufficio;21/07/2019;Grandi aziende;262
Mobili;22/07/2019;Privati;97
Forniture per ufficio;22/07/2019;Privati;160
Forniture per ufficio;23/07/2019;Piccole aziende;13
Tecnologia;23/07/2019;Piccole aziende;1463
Forniture per ufficio;25/07/2019;Privati;54
Forniture per ufficio;27/07/2019;Privati;192
Tecnologia;27/07/2019;Privati;187
Forniture per ufficio;28/07/2019;Privati;324
Forniture per ufficio;28/07/2019;Grandi aziende;553
Tecnologia;28/07/2019;Privati;1687
Tecnologia;28/07/2019;Grandi aziende;185
Mobili;29/07/2019;Privati;73
Mobili;29/07/2019;Piccole aziende;542
Mobili;30/07/2019;Privati;163
Mobili;30/07/2019;Grandi aziende;116
Forniture per ufficio;30/07/2019;Privati;49
Forniture per ufficio;30/07/2019;Grandi aziende;53
Mobili;01/08/2019;Privati;84
Forniture per ufficio;01/08/2019;Privati;24
Forniture per ufficio;01/08/2019;Grandi aziende;229
Mobili;02/08/2019;Privati;254
Forniture per ufficio;02/08/2019;Piccole aziende;214
Tecnologia;02/08/2019;Piccole aziende;189
Forniture per ufficio;03/08/2019;Piccole aziende;24
Mobili;04/08/2019;Privati;193
Mobili;04/08/2019;Grandi aziende;940
Forniture per ufficio;04/08/2019;Privati;371
Forniture per ufficio;04/08/2019;Grandi aziende;83
Tecnologia;04/08/2019;Privati;64
Tecnologia;04/08/2019;Grandi aziende;330
Forniture per ufficio;05/08/2019;Privati;402
Forniture per ufficio;05/08/2019;Grandi aziende;437
Tecnologia;05/08/2019;Privati;542
Mobili;06/08/2019;Privati;419
Forniture per ufficio;06/08/2019;Privati;535
Tecnologia;06/08/2019;Privati;539
Forniture per ufficio;07/08/2019;Privati;460
Mobili;08/08/2019;Grandi aziende;39
Forniture per ufficio;09/08/2019;Privati;57
Forniture per ufficio;09/08/2019;Piccole aziende;35
Tecnologia;09/08/2019;Privati;251
Mobili;10/08/2019;Privati;446
Mobili;10/08/2019;Grandi aziende;198
Mobili;10/08/2019;Piccole aziende;291
Forniture per ufficio;10/08/2019;Privati;153
Forniture per ufficio;10/08/2019;Grandi aziende;643
Forniture per ufficio;10/08/2019;Piccole aziende;277
Tecnologia;10/08/2019;Privati;1806
Forniture per ufficio;11/08/2019;Privati;91
Forniture per ufficio;11/08/2019;Grandi aziende;386
Tecnologia;11/08/2019;Privati;4855
Tecnologia;11/08/2019;Grandi aziende;326
Forniture per ufficio;12/08/2019;Privati;791
Forniture per ufficio;12/08/2019;Piccole aziende;39
Tecnologia;12/08/2019;Privati;48
Mobili;13/08/2019;Privati;128
Forniture per ufficio;13/08/2019;Privati;290
Forniture per ufficio;13/08/2019;Grandi aziende;44
Forniture per ufficio;13/08/2019;Piccole aziende;156
Tecnologia;13/08/2019;Privati;1157
Mobili;16/08/2019;Privati;1830
Forniture per ufficio;16/08/2019;Privati;848
Forniture per ufficio;16/08/2019;Piccole aziende;88
Tecnologia;16/08/2019;Privati;174
Tecnologia;16/08/2019;Piccole aziende;152
Mobili;17/08/2019;Grandi aziende;50
Forniture per ufficio;17/08/2019;Privati;751
Forniture per ufficio;17/08/2019;Grandi aziende;534
Tecnologia;17/08/2019;Privati;622
Tecnologia;17/08/2019;Grandi aziende;4676
Mobili;18/08/2019;Privati;1607
Forniture per ufficio;18/08/2019;Privati;222
Forniture per ufficio;19/08/2019;Privati;861
Forniture per ufficio;19/08/2019;Piccole aziende;22
Tecnologia;19/08/2019;Privati;2322
Tecnologia;19/08/2019;Piccole aziende;762
Forniture per ufficio;20/08/2019;Grandi aziende;66
Forniture per ufficio;20/08/2019;Piccole aziende;77
Mobili;22/08/2019;Privati;1281
Forniture per ufficio;22/08/2019;Privati;1164
Tecnologia;22/08/2019;Privati;221
Forniture per ufficio;23/08/2019;Privati;579
Forniture per ufficio;24/08/2019;Privati;282
Forniture per ufficio;24/08/2019;Grandi aziende;64
Forniture per ufficio;24/08/2019;Piccole aziende;16
Tecnologia;24/08/2019;Privati;277
Tecnologia;24/08/2019;Grandi aziende;144
Mobili;25/08/2019;Privati;73
Mobili;25/08/2019;Grandi aziende;818
Forniture per ufficio;25/08/2019;Privati;47
Forniture per ufficio;25/08/2019;Grandi aziende;762
Tecnologia;25/08/2019;Privati;193
Tecnologia;25/08/2019;Grandi aziende;342
Mobili;26/08/2019;Privati;396
Forniture per ufficio;26/08/2019;Privati;489
Forniture per ufficio;26/08/2019;Grandi aziende;107
Forniture per ufficio;26/08/2019;Piccole aziende;222
Tecnologia;26/08/2019;Privati;381
Mobili;27/08/2019;Privati;2923
Forniture per ufficio;27/08/2019;Privati;3588
Forniture per ufficio;27/08/2019;Grandi aziende;256
Tecnologia;27/08/2019;Grandi aziende;587
Mobili;28/08/2019;Privati;688
Mobili;28/08/2019;Grandi aziende;257
Forniture per ufficio;28/08/2019;Grandi aziende;284
Tecnologia;28/08/2019;Privati;957
Tecnologia;28/08/2019;Grandi aziende;244
Mobili;30/08/2019;Privati;187
Mobili;30/08/2019;Grandi aziende;93
Forniture per ufficio;30/08/2019;Privati;156
Mobili;31/08/2019;Privati;83
Forniture per ufficio;31/08/2019;Privati;560
Forniture per ufficio;31/08/2019;Grandi aziende;8
Forniture per ufficio;31/08/2019;Piccole aziende;72
Tecnologia;31/08/2019;Privati;594
Tecnologia;31/08/2019;Piccole aziende;219
Forniture per ufficio;01/09/2019;Privati;1582
Forniture per ufficio;02/09/2019;Grandi aziende;249
Forniture per ufficio;02/09/2019;Piccole aziende;173
Tecnologia;02/09/2019;Privati;1208
Mobili;03/09/2019;Privati;1088
Mobili;03/09/2019;Grandi aziende;295
Forniture per ufficio;03/09/2019;Privati;235
Forniture per ufficio;03/09/2019;Grandi aziende;123
Forniture per ufficio;04/09/2019;Privati;52
Forniture per ufficio;04/09/2019;Piccole aziende;158
Tecnologia;04/09/2019;Privati;153
Mobili;06/09/2019;Privati;1083
Forniture per ufficio;06/09/2019;Privati;107
Mobili;07/09/2019;Grandi aziende;842
Forniture per ufficio;07/09/2019;Privati;996
Forniture per ufficio;07/09/2019;Grandi aziende;100
Forniture per ufficio;07/09/2019;Piccole aziende;591
Tecnologia;07/09/2019;Privati;360
Tecnologia;07/09/2019;Grandi aziende;164
Tecnologia;07/09/2019;Piccole aziende;725
Forniture per ufficio;08/09/2019;Grandi aziende;28
Mobili;09/09/2019;Privati;1133
Forniture per ufficio;09/09/2019;Privati;1793
Forniture per ufficio;09/09/2019;Grandi aziende;6207
Tecnologia;09/09/2019;Privati;206
Mobili;10/09/2019;Grandi aziende;509
Forniture per ufficio;10/09/2019;Grandi aziende;168
Forniture per ufficio;10/09/2019;Piccole aziende;15
Tecnologia;10/09/2019;Grandi aziende;1433
Mobili;11/09/2019;Privati;78
Forniture per ufficio;11/09/2019;Privati;244
Forniture per ufficio;13/09/2019;Grandi aziende;70
Forniture per ufficio;13/09/2019;Piccole aziende;1184
Tecnologia;13/09/2019;Grandi aziende;746
Tecnologia;13/09/2019;Piccole aziende;79
Forniture per ufficio;14/09/2019;Privati;338
Forniture per ufficio;15/09/2019;Privati;739
Forniture per ufficio;15/09/2019;Grandi aziende;22
Tecnologia;15/09/2019;Privati;946
Tecnologia;15/09/2019;Grandi aziende;477
Mobili;16/09/2019;Privati;779
Mobili;16/09/2019;Grandi aziende;832
Mobili;16/09/2019;Piccole aziende;78
Forniture per ufficio;16/09/2019;Privati;346
Forniture per ufficio;16/09/2019;Grandi aziende;63
Forniture per ufficio;16/09/2019;Piccole aziende;355
Tecnologia;16/09/2019;Privati;301
Tecnologia;16/09/2019;Grandi aziende;1331
Mobili;17/09/2019;Privati;2596
Forniture per ufficio;17/09/2019;Privati;338
Tecnologia;17/09/2019;Privati;1068
Mobili;18/09/2019;Privati;659
Mobili;18/09/2019;Grandi aziende;109
Forniture per ufficio;18/09/2019;Grandi aziende;444
Mobili;19/09/2019;Privati;554
Forniture per ufficio;19/09/2019;Privati;151
Tecnologia;19/09/2019;Privati;76
Mobili;20/09/2019;Grandi aziende;274
Forniture per ufficio;20/09/2019;Privati;486
Forniture per ufficio;20/09/2019;Grandi aziende;186
Forniture per ufficio;20/09/2019;Piccole aziende;78
Tecnologia;20/09/2019;Privati;1584
Mobili;21/09/2019;Privati;347
Forniture per ufficio;21/09/2019;Privati;329
Forniture per ufficio;21/09/2019;Grandi aziende;139
Tecnologia;21/09/2019;Privati;5207
Mobili;22/09/2019;Piccole aziende;1146
Forniture per ufficio;22/09/2019;Grandi aziende;36
Forniture per ufficio;22/09/2019;Piccole aziende;87
Mobili;23/09/2019;Piccole aziende;277
Forniture per ufficio;23/09/2019;Privati;1559
Forniture per ufficio;23/09/2019;Grandi aziende;230
Forniture per ufficio;23/09/2019;Piccole aziende;26
Tecnologia;23/09/2019;Privati;98
Tecnologia;23/09/2019;Grandi aziende;179
Mobili;24/09/2019;Piccole aziende;427
Forniture per ufficio;24/09/2019;Privati;4369
Forniture per ufficio;24/09/2019;Grandi aziende;147
Mobili;25/09/2019;Grandi aziende;52
Forniture per ufficio;25/09/2019;Privati;140
Forniture per ufficio;25/09/2019;Piccole aziende;754
Tecnologia;25/09/2019;Piccole aziende;674
Forniture per ufficio;27/09/2019;Grandi aziende;313
Forniture per ufficio;27/09/2019;Piccole aziende;1465
Tecnologia;27/09/2019;Privati;129
Tecnologia;27/09/2019;Grandi aziende;434
Forniture per ufficio;28/09/2019;Privati;1585
Forniture per ufficio;28/09/2019;Grandi aziende;436
Tecnologia;28/09/2019;Privati;3592
